Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
68145,Tod und Teufel,Frank Schätzing,"Schätzing, Frank",,"=""3442455316""","=""9783442455317""",0,3.69,Goldmann,Paperback,512,2003,1995,,2025/10/22,,,read,,,,1,0
198116749,Der letzte Schattenritter (Die Saga der Schattenritter 1) (German Edition),Michael   Webb,"Webb, Michael",Elena Wember,"=""""","=""""",4,4.20,LMBPN International,Kindle Edition,612,2023,2021,,2024/08/27,,,read,,,,1,0
198109106,"Aufstieg des Schattens (Die Saga der Schattenritter, #2)",Michael   Webb,"Webb, Michael",Elena Wember,"=""""","=""""",0,4.44,LMBPN International,Kindle Edition,511,2024,2021,,2024/08/27,currently-reading,currently-reading (#1),currently-reading,,,,1,0
10659781,"Gladiator (Rom, #9)",Simon Scarrow,"Scarrow, Simon",Norbert Stöbe,"=""3453435060""","=""9783453435063""",5,4.24,Heyne Verlag,Paperback,533,2011,2009,,2021/08/29,,,read,,,,1,0
1631374,Das Ende Ist Mein Anfang,Tiziano Terzani,"Terzani, Tiziano",,"=""3421042926""","=""9783421042927""",0,4.47,DVA Dt.Verlags-Anstalt,Hardcover,411,2007,2006,,2024/08/27,to-read,to-read (#31),to-read,,,,0,0
34466963,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,"Walker, Matthew",,"=""""","=""""",0,4.37,Scribner,Hardcover,368,2017,2017,,2024/08/27,to-read,to-read (#30),to-read,,,,0,0
18176747,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers―Straight Talk on the Challenges of Entrepreneurship,Ben Horowitz,"Horowitz, Ben",,"=""0062273205""","=""9780062273208""",0,4.20,Harper Business,Hardcover,304,2014,2014,,2024/08/27,to-read,to-read (#29),to-read,,,,0,0
1119263,"Oje, ich wachse!",Hetty van de Rijt,"Rijt, Hetty van de",Frans X. Plooij,"=""3442161444""","=""9783442161447""",4,3.90,Mosaik bei Goldmann,Paperback,351,1998,1992,,2023/02/28,,,read,,,,1,0
30257963,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,"Peterson, Jordan B.",,"=""0345816021""","=""9780345816023""",1,3.91,Random House Canada,Hardcover,409,2018,2018,,2023/12/10,,,read,,,,1,0
34516335,Sales EQ: How Ultra High Performers Leverage Sales-Specific Emotional Intelligence to Close the Complex Deal,Jeb Blount,"Blount, Jeb",Anthony Iannarino,"=""""","=""""",0,4.28,Wiley,Kindle Edition,305,2017,2017,,2023/12/10,to-read,to-read (#28),to-read,,,,0,0
3907050,"EQ, Emotionale Intelligenz, 1 Cassette",Daniel Goleman,"Goleman, Daniel",,"=""3895848832""","=""9783895848834""",5,4.05,Der Hörverl,Audio Cassette,0,2001,1995,,2023/12/10,,,read,,,,1,0
16065511,Mind Whispering: A New Map to Freedom from Self-Defeating Emotional Habits,Tara Bennett-Goleman,"Bennett-Goleman, Tara",Dalai Lama XIV,"=""0062130897""","=""9780062130891""",0,3.52,HarperOne,Unknown Binding,336,2013,2013,,2023/10/21,to-read,to-read (#27),to-read,,,,0,0
23343019,Die 10 wichtigsten Fragen des Lebens,Gregor Eisenhauer,"Eisenhauer, Gregor",,"=""3832197591""","=""9783832197599""",0,2.97,DuMont Buchverlag,Hardcover,254,2014,2014,,2023/07/19,to-read,to-read (#26),to-read,,,,0,0
1325845,Der Spieler,Fyodor Dostoevsky,"Dostoevsky, Fyodor",,"=""3423124067""","=""9783423124065""",5,3.91,dtv,Paperback,173,1981,1866,,2021/08/29,,,read,,,,1,0
6398634,The Happiness Project,Gretchen Rubin,"Rubin, Gretchen",,"=""0061583251""","=""9780061583254""",5,3.65,Harper,Hardcover,301,2009,2009,,2023/06/10,,,read,,,,1,0
28076369,Der Pfau,Isabel Bogdan,"Bogdan, Isabel",,"=""3462048007""","=""9783462048001""",0,3.71,Kiepenheuer&Witsch,Hardcover,256,2016,2016,,2023/04/07,to-read,to-read (#25),to-read,,,,0,0
942336,Die Räuber,Friedrich Schiller,"Schiller, Friedrich",,"=""3150000157""","=""9783150000151""",4,3.42,Reclam,Paperback,176,1986,1781,,2023/03/25,,,read,,,,1,0
62206764,"Blutmond (Harry Hole, #13)",Jo Nesbø,"Nesbø, Jo",Günther Frauenlob,"=""3843728771""","=""9783843728775""",0,4.18,Ullstein Ebooks,Kindle Edition,544,2022,2022,,2023/03/25,to-read,to-read (#24),to-read,,,,0,0
20637025,Der Distelfink,Donna Tartt,"Tartt, Donna",,"=""""","=""9783442312399""",5,3.96,Goldmann,Hardcover,1024,2014,2013,,2023/03/25,,,read,,,,1,0
52334159,"Messer (Harry Hole, #12)",Jo Nesbø,"Nesbø, Jo",,"=""3550081731""","=""9783550081736""",5,4.27,Ullstein Buchverlage GmbH,Hardcover,575,2019,2019,,2023/03/25,,,read,,,,1,0
45894432,"Durst (Harry Hole, #11)",Jo Nesbø,"Nesbø, Jo",,"=""3957130875""","=""9783957130877""",5,4.18,Hörbuch Hamburg,Audio CD,,2017,2017,,2023/03/25,,,read,,,,1,0
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""1455586692""","=""9781455586691""",0,4.16,Grand Central Publishing,Hardcover,296,2016,2016,,2023/03/25,to-read,to-read (#23),to-read,,,,0,0
23355220,"The Leopard (Harry Hole, #8)",Jo Nesbø,"Nesbø, Jo",,"=""""","=""""",5,4.10,,Paperback,634,2009,2009,,2023/03/25,,,read,,,,1,0
5658534,"Schneemann (Harry Hole, #7)",Jo Nesbø,"Nesbø, Jo",,"=""3550087578""","=""9783550087578""",5,4.02,Ullstein Hardcover ,Hardcover,496,2008,2007,,2023/03/25,,,read,,,,1,0
61067502,"Am dunklen Wasser (Akte Nordsee, #1)",Eva Almstädt,"Almstädt, Eva",,"=""3404185749""","=""9783404185740""",4,3.88,Bastei Lübbe,Paperback,416,2022,2022,,2023/03/25,,,read,,,,1,0
63022693,Meine Grenze ist dein Halt: Kindern liebevoll Stopp sagen,Nora Imlau,"Imlau, Nora",,"=""3407867433""","=""9783407867438""",0,4.41,Julius Beltz GmbH & Co. KG,Kindle Edition,201,2022,,,2023/03/25,to-read,to-read (#22),to-read,,,,0,0
109693014,Working Dad: Vereinbarkeit von aktiver Vaterrolle und Karriere leben (German Edition),Roman Gaida,"Gaida, Roman",,"=""3593452480""","=""9783593452487""",5,4.19,Campus Verlag,Kindle Edition,313,2022,,,2023/03/25,,,read,,,,1,0
9484114,The Happiness Advantage: The Seven Principles of Positive Psychology That Fuel Success and Performance at Work,Shawn Achor,"Achor, Shawn",,"=""0307591565""","=""9780307591562""",0,4.13,Crown Business,ebook,272,2010,2010,,2023/03/13,to-read,to-read (#21),to-read,,,,0,0
51647349,"Dreißig Minuten, dann ist aber Schluss!: Mit Kindern tiefenentspannt durch den Mediendschungel",Patricia Cammarata,"Cammarata, Patricia",,"=""3847900498""","=""9783847900498""",5,4.37,Eichborn,Paperback,320,2020,,,2023/02/28,,,read,,,,1,0
29749945,"Schlaf gut, Baby! Der sanfte Weg zu ruhigen Nächten",Herbert Renz-Polster,"Renz-Polster, Herbert",Nora Imlau,"=""3833845988""","=""9783833845987""",4,4.27,GRÄFE UND UNZER Verlag GmbH,Hardcover,208,2016,,,2023/02/28,,,read,,,,1,0
46021078,"Mama, nicht schreien!: Liebevoll bleiben bei Stress, Wut und starken Gefühlen",Jeannine Mik,"Mik, Jeannine",Sandra Teml-Jetter,"=""3641236207""","=""9783641236205""",3,3.63,Kösel-Verlag,Kindle Edition,225,2019,,,2023/02/28,,,read,,,,1,0
43518318,"Nestwärme, die Flügel verleiht: Halt geben und Freiheit schenken - wie wir erziehen, ohne zu erziehen",Stefanie Stahl,"Stahl, Stefanie",Julia Tomuschat,"=""3833867256""","=""9783833867255""",3,4.19,Gräfe und Unzer Verlag,Paperback,238,2018,2018,,2023/02/28,,,read,,,,1,0
32379054,Intuitives Stillen: Einfach und entspannt – Dem eigenen Gefühl vertrauen – Die Beziehung zum Baby stärken (German Edition),Regine Gresens,"Gresens, Regine",Wolf Lütje,"=""3641180384""","=""9783641180386""",4,4.16,Kösel-Verlag,Kindle Edition,300,2016,,,2023/02/28,,,read,,,,1,0
36442195,"Kindheit ohne Strafen: Neue wertschätzende Wege für Eltern, die es anders machen wollen (German Edition)",Katharina Saalfrank,"Saalfrank, Katharina",,"=""3407864973""","=""9783407864970""",4,4.16,Julius Beltz GmbH & Co. KG,Kindle Edition,264,2017,,,2023/02/28,,,read,,,,1,0
7713347,Kinder verstehen. Born to be wild: Wie die Evolution unsere Kinder prägt,Herbert Renz-Polster,"Renz-Polster, Herbert",,"=""3466308240""","=""9783466308248""",4,4.53,Kösel Verlag,Hardcover,512,2009,2009,,2023/02/28,,,read,,,,1,0
32927730,Vertrauen in die natürliche Geburt: Gelassen und entspannt in den Kreißsaal (German Edition),Wolf Lütje,"Lütje, Wolf",,"=""3641184932""","=""9783641184933""",4,3.77,Kösel-Verlag,Kindle Edition,145,2016,,,2023/02/28,,,read,,,,1,0
31699232,"Mein kompetentes Baby: Wie Kinder zeigen, was sie brauchen",Nora Imlau,"Imlau, Nora",,"=""3641182352""","=""9783641182359""",4,4.40,Kösel-Verlag,Kindle Edition,224,2016,,,2023/02/28,,,read,,,,1,0
27838682,Babypedia,Anne Nina Simoens,"Simoens, Anne Nina",Anja Pallasch,"=""344217564X""","=""9783442175642""",3,4.21,Goldmann,Paperback,337,2015,2013,,2023/02/28,,,read,,,,1,0
11888287,Mann & Vater sein,Jesper Juul,"Juul, Jesper",,"=""3451610442""","=""9783451610448""",2,3.67,Verlag Herder GmbH,Paperback,200,2011,2010,,2023/02/28,,,read,,,,1,0
25328991,babySignal - Mit den Händen sprechen,Wiebke Gericke,"Gericke, Wiebke",,"=""""","=""""",4,3.95,Kösel-Verlag,Paperback,133,2014,2009,,2023/02/28,,,read,,,,1,0
42429726,Babybauchzeit: Geborgen durch die Schwangerschaft und die Zeit danach. Hebammenwissen für Mutter und Kind,Nora Imlau,"Imlau, Nora",Sabine Pfützner,"=""""","=""""",5,4.48,Beltz,Kindle Edition,412,2018,,,2023/02/28,,,read,,,,1,0
76865,Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,"Collins, Jim",,"=""0066620996""","=""9780066620992""",4,4.12,Harper Business,Hardcover,300,2001,2001,,2021/08/29,,,read,,,,1,0
42118073,Trillion Dollar Coach: The Leadership Playbook of Silicon Valley's Bill Campbell,Eric Schmidt,"Schmidt, Eric","Jonathan Rosenberg, Alan Eagle","=""0062839268""","=""9780062839268""",5,3.98,Harper Business,Hardcover,240,2019,2019,,2023/02/28,,,read,,,,1,0
40229935,artgerecht - Das andere Kleinkinderbuch,Nicola Schmidt,"Schmidt, Nicola",Claudia Meitert,"=""3641221617""","=""9783641221614""",5,4.08,Kösel-Verlag,Kindle Edition,305,2018,,,2023/02/25,,,read,,,,1,0
42518866,Geschwister als Team,Nicola Schmidt,"Schmidt, Nicola",,"=""3641221625""","=""9783641221621""",5,4.15,Kösel-Verlag,Kindle Edition,241,2018,,,2023/02/25,,,read,,,,1,0
27410360,"artgerecht - Das andere Baby-Buch: Natürliche Bedürfnisse stillen. Gesunde Entwicklung fördern. Naturnah erziehen (Die ""artgerecht""-Reihe von Nicola Schmidt, #1)",Nicola Schmidt,"Schmidt, Nicola",Claudia Meitert,"=""3641161940""","=""9783641161941""",5,3.91,Kösel-Verlag,Kindle Edition,335,2015,2015,,2023/02/25,,,read,,,,1,0
55017632,Das gewünschteste Wunschkind aller Zeiten treibt mich in den Wahnsinn: Das Geschwisterbuch,Danielle Graf,"Graf, Danielle",Danielle Graf,"=""3407866356""","=""9783407866356""",0,4.30,Julius Beltz GmbH & Co. KG,Kindle Edition,337,2020,,,2023/02/25,to-read,to-read (#20),to-read,,,,0,0
32889241,Das gewünschteste Wunschkind aller Zeiten treibt mich in den Wahnsinn,Danielle Graf,"Graf, Danielle",Katja Seide,"=""3407864221""","=""9783407864222""",5,4.38,Beltz Verlag,Paperback,288,2016,2016,,2023/02/25,,,read,,,,1,0
44778173,"The Squiggly Career: Ditch the Ladder, Discover Opportunity, Design Your Career",Helen Tupper,"Tupper, Helen",,"=""0241385849""","=""9780241385845""",4,3.93,Portfolio Penguin,Paperback,240,2022,2020,,2023/02/25,,,read,,,,1,0
58715839,Amazon unaufhaltsam: Wie Jeff Bezos das mächtigste Unternehmen der Welt erschafft,Brad Stone,"Stone, Brad",,"=""3424202258""","=""9783424202250""",0,4.07,Ariston,Hardcover,0,2021,2021,,2021/08/31,,,read,,,,1,0
17660462,The Everything Store: Jeff Bezos and the Age of Amazon,Brad Stone,"Stone, Brad",,"=""0316219266""","=""9780316219266""",0,4.14,"Little, Brown and Company",Hardcover,384,2013,2013,,2023/02/25,,,read,,,,1,0
6929509,Priceless: The Myth of Fair Value (and How to Take Advantage of It),William Poundstone,"Poundstone, William",,"=""080909469X""","=""9780809094691""",0,3.83,Hill and Wang,Hardcover,336,2010,2010,,2023/02/25,,,read,,,,1,0
54898389,The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,"Jorgenson, Eric",,"=""""","=""9781544514208""",0,4.39,Magrathea Publishing,Kindle Edition,244,2020,2020,,2023/02/25,,,read,,,,1,0
2147030,Der Reichste Mann von Babylon,George S. Clason,"Clason, George S.",,"=""3442163838""","=""9783442163830""",3,4.23,Goldmann Wilhelm GmbH,Paperback,208,2002,1926,,2023/02/25,,,read,,,,1,0
53678101,"Crown of Dragons (Age of the Sorcerers, #5)",Morgan Rice,"Rice, Morgan",,"=""""","=""""",0,4.37,,Kindle Edition,196,2020,,,2023/02/25,,,read,,,,1,0
53627833,"Ring of Dragons (Age of the Sorcerers, #4)",Morgan Rice,"Rice, Morgan",,"=""""","=""""",0,4.29,,Kindle Edition,206,2020,2020,,2023/02/25,,,read,,,,1,0
49462402,"Born of Dragons (Age of the Sorcerers, #3)",Morgan Rice,"Rice, Morgan",,"=""""","=""""",0,4.23,,Kindle Edition,208,2020,,,2023/02/25,,,read,,,,1,0
49462389,"Throne of Dragons (Age of the Sorcerers, #2)",Morgan Rice,"Rice, Morgan",,"=""""","=""""",0,4.14,,Kindle Edition,190,2020,2020,,2023/02/25,,,read,,,,1,0
52764828,"Realm of Dragons (Age of the Sorcerers, #1)",Morgan Rice,"Rice, Morgan",,"=""""","=""""",0,3.96,,Kindle Edition,223,2019,2019,,2023/02/25,,,read,,,,1,0
70740,Der Alchimist,Paulo Coelho,"Coelho, Paulo",Cordula Swoboda Herzog,"=""3257061269""","=""9783257061260""",3,3.92,Diogenes Verlag,Hardcover,176,1999,1988,,2022/10/18,,,read,,,,1,0
41881472,The Psychology of Money,Morgan Housel,"Housel, Morgan",,"=""0857197681""","=""9780857197689""",4,4.29,Harriman House,Paperback,242,2020,2020,,2021/08/29,,,read,,,,1,0
61329,Crossing the Chasm: Marketing and Selling High-Tech Products to Mainstream Customers,Geoffrey A. Moore,"Moore, Geoffrey A.",Regis McKenna,"=""0060517123""","=""9780060517120""",5,4.02,HarperBusiness,Paperback,211,2006,2006,,2022/01/10,,,read,,,,1,0
5226454,Der Schwarze Schwan,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""3446415688""","=""9783446415683""",0,3.96,Carl Hanser Verlag GmbH & Co.,Hardcover,441,2008,2007,,2022/04/15,to-read,to-read (#19),to-read,,,,0,0
12921211,"Search Inside Yourself: The Unexpected Path to Achieving Success, Happiness (And World Peace)",Chade-Meng Tan,"Tan, Chade-Meng","Daniel Goleman, Jon Kabat-Zinn","=""0062116924""","=""9780062116925""",0,4.04,HarperOne,Hardcover,288,2012,2012,,2022/02/03,to-read,to-read (#18),to-read,,,,0,0
44770129,"Ultralearning: Master Hard Skills, Outsmart the Competition, and Accelerate Your Career",Scott H. Young,"Young, Scott H.",James Clear,"=""""","=""""",0,3.95,Harper Business,Kindle Edition,305,2019,2019,,2022/02/03,to-read,to-read (#17),to-read,,,,0,0
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",Blake  Masters,"=""0804139296""","=""9780804139298""",0,4.15,Crown Currency,Hardcover,195,2014,2014,,2022/01/31,to-read,to-read (#16),to-read,,,,0,0
49968794,Die Kunst des erfolgreichen Lebens: Weisheiten aus zwei Jahrtausenden von Konfuzius bis Steve Jobs,Rainer Zitelmann,"Zitelmann, Rainer",,"=""3960924569""","=""9783960924562""",0,4.17,FinanzBuch Verlag,Kindle Edition,352,2019,,,2022/01/21,to-read,to-read (#15),to-read,,,,0,0
25622861,Platform Revolution: How Networked Markets Are Transforming the Economy―and How to Make Them Work for You,Geoffrey G. Parker,"Parker, Geoffrey G.","Marshall W. Van Alstyne, Sangeet Paul Choudary","=""0393249131""","=""9780393249132""",4,4.04,W. W. Norton & Company,Hardcover,352,2016,2016,,2021/08/30,,,read,,,,1,0
4865,How to Win Friends & Influence People,Dale Carnegie,"Carnegie, Dale",,"=""""","=""""",4,4.22,Gallery Books,Paperback,288,1998,1936,,2021/08/29,,,read,,,,1,0
38746485,Becoming,Michelle Obama,"Obama, Michelle",,"=""1524763136""","=""9781524763138""",4,4.44,Crown,Hardcover,448,2018,2018,,2021/08/29,,,read,,,,1,0
16121,"Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow,"Chernow, Ron",,"=""1400077303""","=""9781400077304""",0,4.15,Vintage,Paperback,832,2004,1998,,2021/12/23,to-read,to-read (#14),to-read,,,,0,0
50854888,Führen Leisten Leben: Wirksames Management für eine neue Welt,Fredmund Malik,"Malik, Fredmund",,"=""3593510693""","=""9783593510699""",0,4.27,Campus Verlag GmbH,Hardcover,0,2019,2006,,2021/09/22,to-read,to-read (#13),to-read,,,,0,0
1633,Getting Things Done: The Art of Stress-Free Productivity,David    Allen,"Allen, David",,"=""0142000280""","=""9780142000281""",0,4.00,Penguin Books,Paperback,267,2002,2001,,2021/09/16,to-read,to-read (#12),to-read,,,,0,0
